State,Gross Domestic Product ($ Millions),Gross Domestic Product per Capita ($ Dollars)
AL,221736,40598
AK,54734,71996
AZ,348297,43464
AR,128419,38919
CA,2997733,68803
CO,371750,59885
CT,275727,68555
DE,73481,64895
FL,1039236,43423
GA,592153,50288
HI,93798,58185
ID,77052,40189
IL,865310,60419
IN,366801,49209
IA,189702,54520
KS,168318,53094
KY,208088,41898
LA,257288,50938
ME,64856,42925
MD,412584,61042
MA,569488,73321
MI,527096,47072
MN,368852,59510
MS,114834,34434
MO,318921,46507
MT,50327,43509
NE,123978,59178
NV,169310,49361
NH,84464,55905
NJ,622003,62385
NM,100297,44671
NY,1668866,73463
NC,563691,47896
ND,56082,69563
OH,675905,51790
OK,202554,49840
OR,239783,51677
PA,783168,55580
RI,60588,50718
SC,233930,40755
SD,52015,52696
TN,364105,47810
TX,1802511,59674
UT,178138,50236
VT,33256,47502
VA,532893,56002
WA,565831,67901
DC,140661,176498
WV,77438,39584
WI,336294,51883
WY,39119,65843
